"Reason","Keep","Removed","Guid","Hash","Size","Ext"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0003.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0008 (2).png","ff0f6e12c0a5d214ab608251a43de2e4","2A47CB8EE47E5D1BF3676596505312FDEC50C6FCB5A41556C94AB57ED18F94DF","11462",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0004.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0009 (2).png","db07ea7a6f9a7e84c90e26db4c04b8c4","F439D08EE5801EF30C864A52024E4CFB023A12AABFCBA2AC903B6F0BB217D82F","12574",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0005.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0010.png","c9e73012376221d4bad8632090f7c9e3","51D25D7ED50CDB1BEEE7631EEC18487DDF257710468F2F3847DB69A071A24B30","10033",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0006.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0011.png","1672b45b66adb9c46989d1216ea00910","07F6CCE3C981335FA48875700C84FDA69F55F3B0CF789E2AB035D217A02522CC","11105",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0007.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0012.png","6424d42f16a2e0542a032ef1bb07bead","2ABCEA32A40D29A3AA2333C11E38A636DF4380E7E8E97AED07682E6CB3749CAA","10396",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0008.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0013.png","e36669d277ec4c34eb3edc0e46ac0f09","35AE602AF1F9BF2951986F53E291D8C9FB8968FDFD1645FBCDFE6ADB7FAE665B","11636",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\cry\cry_0009.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\fall\PNG\PNG_0014.png","644a46d095f3fb445a5bb579eef4438f","49D8FBD88D015E443B36FE97D2FF152F0801891DDACCCBEA9DE1363BA4F35C42","6538",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\run\PREPARAÇÃO\run_0001.png","dbe4f6eb9405fdc4e9073daa872a7fa9","E92F562D43130E7CC1B95AF942ECA9BC64AE3DCA31BDAE049AC24383DF8AAAB3","5569",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0002.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0002.png","eb8d9bc8e6b09d94e984ab65f3865e36","1437B473CE3D84F70D4716D6670AC22E4528A50CD41A351960D4D3547C9E849A","14099",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0003.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0003.png","3a7250ce3df84164e9fb0017c8bd570d","0B1609A990A1F5956D22009C5E1E8A5CBE95A7F87690793D506A0A5E5A5663BE","15936",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0004.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0004.png","e13e6597a4c43e94093b0371ae1b3c8c","6D88F21A04BBF21C259327A2BBFD1EAB3C0797E85A5E051D42CCB476F88045C1","18383",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0005.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0005.png","a92e167a78b44784fa03c95894ad30bf","C9B7DF51461B711B66DEC9004A366303B3846EF0CD11817296708873248CC8C4","14680",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0006.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0006.png","d5d07e14af1a0744faabde9e0ed4e65e","D195CA90FE6CA0169CE9567E0819788E67E5B6ADED862185ED08D4CFBD4EC5C1","12685",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0007.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0007.png","8cdac96aa7da77c48909970f109e4501","C381E488437B7C99889B5B90BD6BFCE35ECEDD188B16E89C516C0BFA56EE93B6","20313",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0008.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0008.png","cb2c9d4717085444fb5fbdf2fa04eb29","342216361738746F18291108AAE3013437771CC7CB56B7157E97D0F4B6888315","18777",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\special-attk_0009.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\special-attk\special-attk_0009.png","86e8d3433f6fd4540aca27e1021558a1","8F25D72B816C0C6A91F6FA95F5209FD7E515DE6E25C80A9F66D2798C6D16F178","14348",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\attack\PNG\PREPARAÇÃO\PNG_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Boss\walk\PNG\PNG_0001.png","1b9edfd3f9c593f47897b8d6150f6310","E92F562D43130E7CC1B95AF942ECA9BC64AE3DCA31BDAE049AC24383DF8AAAB3","5569",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\idle\idle.gif","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\idle\idle1.gif","6259c485eaff0274f96d296342e7f5d5","59CE5BD910F93A1BFAF3607F685B4D27B0DCC46EC0045E3AE5A1D7E7976C1FFB","24053",".gif"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\idle\idle1.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\jump-(pode ser trocado com o tempo)\PNGS\PNGS_0001.png","5dcf500b5ca56fe40a65c712bddf3ed4","5F53A428EB9BA7ED7DA6B65B45D36CC360D4A214DA264B441E87E6E847F72EE7","5394",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\dash\animação inacabada do dash.gif","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\prop\pixellab-The-hooded-figure-shifts-their-1776643828722 (1).gif","eace5b0c0b1968b4294c1fda8fecd85e","44D3D97542D088CB76DABF6557DF46FA6BFF538830B55F460C4F65AD66E9E994","32154",".gif"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\idle\idle1.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\troca-de-lado\PNG\troca-de-lado_0001.png","942da20635d6e1f43a5ba082ae1cd332","5F53A428EB9BA7ED7DA6B65B45D36CC360D4A214DA264B441E87E6E847F72EE7","5394",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0001.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0001.png","fa883a356d23e8a4ba87a240e5453896","39A8921769DD6F66771FFA6042AFEF2E39CF236BC42A4B067B4FE3CF1D3FBB96","7222",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0002.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0002.png","1cd61ce53a386a64fb2bcf0976962c39","F0A1DDC8CF267F47CEF41E9DEC7D3674D38117F2FCE648F8C41C856899BCD25F","7184",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0003.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0003.png","033adf7bb95b01948a143fed1071754d","FA3FFD1AFCF821B1007C42C785F9A91D29B73CBC82F0BB9E24F0938F15243069","6873",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0004.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0004.png","f270ea69c4ca6cd44871f47ed53e9e34","BBB70A10828DFE0AC253805013AB226EDD284379223EB4955E520E7D7749A65E","7736",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0005.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0005.png","f41f0c721099e6f409ffb379101fb97c","6104949B5F69A2BB6B0D8D68D0DD71206DE81DB8BAA3F3C3F868CD4BEA2C13B6","6921",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0006.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0006.png","f27c1c6b9e4a18d4b90da64b43993746","1BEB0FF4B974E9EB59BB8B2201F9BA09E95D5029FACB8948AE1CC6DEC3AE24C5","7458",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0007.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0007.png","b05cecee7292aa842959c206267a40c2","D32997A9AB857CA195DF71FE78F69BFB9D90A36EE1B88ACAB7D93BD52B5B6311","6982",".png"
"duplicata_exata_sem_referencia","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\def-walk_0008.png","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\walk\png\def-walk_0008.png","3dd4392794b793a468f10cd008654a82","B24DE1EB6F91887061F747353B780452033AD9C34C005A9D1DBBB99AF11B8969","7261",".png"
