"Name","Hash","Size","Origin","Path"
"LiberationSans SDF - Fallback.asset","6CD2FAA131F346F601036104691F0223744C5806A51CEEC454E6D4FF3BB6831D","9713","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Resources\Fonts & Materials\LiberationSans SDF - Fallback.asset"
"LiberationSans SDF - Outline.mat","4A07F16FCFA697F984D78B7ACC005985FE45A256B4BF8B7907FAEA08075B4961","2993","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Resources\Fonts & Materials\LiberationSans SDF - Outline.mat"
"Lit2DSceneTemplate.scenetemplate","EA8BBD3D1010935A8A64A7E9924D708ABB481D693B08008CDC13F1470C7CBCAF","3942880","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\Settings\Lit2DSceneTemplate.scenetemplate"
"PNG_0001.png","11B11824734A616E12B8C2609D47012765BCF0A501369A9CDE128CC5EBF67073","6222","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0001.png"
"PNG_0002.png","E89FB436393F3725E2FC1C59C7F8EA08577B7DE1319ED5007F54476A0209E6B6","8141","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0002.png"
"PNG_0003.png","3C7BEA2E828B91F14066E49A9FAFB65EEBECBBB6EAABF72B030947DE1F771AE2","7169","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0003.png"
"PNG_0004.png","F2CA5752D5083662FFC2CA3D3CB5FACB304351594F7C46A5CBF21AB6DAF7DB20","8586","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0004.png"
"PNG_0005.png","6D106BEABA99873AE222F4B0413ABF4FA441EE6E39C02BE33247814556320FE6","10194","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0005.png"
"PNG_0006.png","393F4C560376636DB1252257BD7663190ADD0A3AA1A23011B588FF92EA5CDD05","12233","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0006.png"
"PNG_0007.png","B9103D5D1E658C906D20BD56ABD937B7D0FB5063F3F91C0C285F3CA585DFAA32","9961","BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Sprites\Player 1\Ataque\JUMP-ATTK\PNG_0007.png"
"Renderer2D.asset","833A5DE0B047BFF1327D3E97656EBFB7F595B4693CA5B8F652B676C5D8CC89AF","3698","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\Settings\Renderer2D.asset"
"SDFFunctions.hlsl","AA8B32660F8BFD9C1166D94539034437BB0332DB6062122D074CD8645FBB98F4","6199","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\SDFFunctions.hlsl"
"TMP Settings.asset","DAFD957B416FDAD34F611C30EE60D5F603497099F847B83FD688F883A56A3E72","1904","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Resources\TMP Settings.asset"
"TMP_Bitmap.shader","1D88CBC0FD9F6D1189E6883B6A41433397A8D7FA2C6C267664AF89F87687F050","3984","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_Bitmap.shader"
"TMP_Bitmap-Custom-Atlas.shader","4FDE41F9B01DF2F31D54C5DDFA7703CA63EC89BBA6615EA439C63E76F84F7B4B","3981","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader"
"TMP_Bitmap-Mobile.shader","D90E395A82303E7C048FE708F8CC76D2C4B304D723C942E8C1C85C30A28ACDFF","4226","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader"
"TMP_SDF Overlay.shader","09602D3DD3834E7495FA233EE09A32C0AF2E072DB6F832B882C2B72014C56D6D","11380","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF Overlay.shader"
"TMP_SDF SSD.shader","02651D722125000A33EF3EEDB32773038F878F6D8563B3E2B45AF1E38859CDF4","12759","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF SSD.shader"
"TMP_SDF.shader","142C6E313F6731976CAD18CFB5B283B3942CCE97DD6345AC4FE5A7CF572E7FD5","11353","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF.shader"
"TMP_SDF-HDRP LIT.shadergraph","5D6BC7A7E8C31CF498E54C9828435815F18E044B898139EB9B491F08461F80A1","299501","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-HDRP LIT.shadergraph"
"TMP_SDF-HDRP UNLIT.shadergraph","2506122540A83F3FBD7FECC073CA4EB6ED43A58A9D8B59CAA135E66580B0C956","291668","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-HDRP UNLIT.shadergraph"
"TMP_SDF-Mobile Masking.shader","B3EAE5BE517F376299ED9152D78FBD6879E2C9A8F35A4B9A133B65BB9254CE18","8531","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader"
"TMP_SDF-Mobile Overlay.shader","2AB40B8067E36D4B6F262BB3485203788B6B0E9C7521BAE69CC47B2A05FB2B0A","8333","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader"
"TMP_SDF-Mobile SSD.shader","C8DE13A7886EDDFC4F6994EA40B4042721F1238EEE89A0FF4C29E32D33FAEFA2","3170","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader"
"TMP_SDF-Mobile.shader","EA5BB3F5540DE2FBA59704D7F31382CF884595980E0B99C05A083873B9E26E3B","8324","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader"
"TMP_SDF-Mobile-2-Pass.shader","58F1BA5A662FC0F432E4BCDEA9E1656A80352C5613F3339D4A8D3DAB0003AEB8","12184","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Mobile-2-Pass.shader"
"TMP_SDF-Surface.shader","F10ECE0FCE4433A45F601FD84B79B74AE82B275910BE8D9AA7C09390AA58A668","4512","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Surface.shader"
"TMP_SDF-Surface-Mobile.shader","0C2DB2EA36E79E533E52AB847BC39BEBAB06285246955A4B2FF6EA546EE7A1B3","3662","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader"
"TMP_SDF-URP Lit.shadergraph","D7816AC9C8E4C6BFB579B3101C1826C46F333279C96F69F5734160FC8F68E80A","295798","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-URP Lit.shadergraph"
"TMP_SDF-URP Unlit.shadergraph","73C1CC198DE82CB5B7522618D29FFC47A307F0DFB5CB34AB9C86BF9A84D26E4D","288641","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_SDF-URP Unlit.shadergraph"
"TMP_Sprite.shader","B8606378647FC693029A0AD8EA7C3D162E1BFE1FF54F2F53F4AB158C9DDB6199","3577","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMP_Sprite.shader"
"TMPro.cginc","7B5E42E957E80DDAC2C42CD49D15DC48C50B97A0E263248BE8A074D1B3C79543","2361","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMPro.cginc"
"TMPro_Mobile.cginc","E3D42E5E7C32DAD5B41FFB4F03D4E7D9382924AFF35D470F46E31D291230385A","5618","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMPro_Mobile.cginc"
"TMPro_Properties.cginc","18D4FA11C9B205459B6BC217B703C5FDEA9875D7A022F6394A0DD18AC3CD0BE4","2787","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMPro_Properties.cginc"
"TMPro_Surface.cginc","3441F62BFB1F6F186118296F5CFD73E84F84776D0551B5195F18542E459B8F4B","3614","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\TextMesh Pro\Shaders\TMPro_Surface.cginc"
"URP2DSceneTemplate.unity","55E315E1A1075331A3D70941B870F39529B1FFE7A01534539DBF290F89A11AA3","10231","ColegaTeste","Assets\RecursosUnificados\ColegaTeste\ProjetoPlayerJhonas\Settings\Scenes\URP2DSceneTemplate.unity"
