"Origin","Path","Name","Ext","Size","Hash"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Running.anim","Running.anim",".anim","4298","AA090524435DA711B40EAE46DEE5E71B45488A8CEBCDBEC1F1795F9C21AE4839"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Takedamage.anim","Takedamage.anim",".anim","2686","CC8FDF7D08902A5306B3C72D8E82CE48EB7A2F64354C5577035C5A6D59580DE8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\trocaDeLado.anim","trocaDeLado.anim",".anim","3909","337AA24C68B1C73B6B0486C0DC353A7ECD565074269FE82134DFB76CFBCA8CE8"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\UpPlataforma.anim","UpPlataforma.anim",".anim","1353","5700A68BAB2BC4E34F08724288440547F09DB49FD9415B9F8E42E3A149B1F995"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Animacoes\Player\Walking.anim","Walking.anim",".anim","4309","E85FF42F72318F387211D679B6EE69A0B858A678C1309701FAA5D75302C83BD1"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Assets\DefaultVolumeProfile.asset","DefaultVolumeProfile.asset",".asset","19524","C5DD9BEE1ADD10F9346F3CB9881738BD41C7BB72E76BE68629D835738C574083"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Assets\InputSystem_Actions.inputactions","InputSystem_Actions.inputactions",".inputactions","42061","CD5A6308F9BCE6DDAC2023B5ED185FF6BC36AC09FBFD9680054D367822203812"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Assets\UniversalRenderPipelineGlobalSettings.asset","UniversalRenderPipelineGlobalSettings.asset",".asset","23234","53EB2EAE711F3B9B945B393171564757297195CC77C45EAB9B48274EF98261C6"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Scenes\bla.unity","bla.unity",".unity","38850","91D521AA0F622DA60FA6CF1B0FF0ACFAC40AECCEBBECC85CB93074D04FF75C57"
"BranchPedrao","Assets\RecursosUnificados\BranchPedrao\Scenes\Cena do JHON.unity","Cena do JHON.unity",".unity","21704","C127A894794949EF0D98DCA40561C8C9DB8831BBF88FDAAE99FB8A9DE587E61D"
