"Origin","Name","Path","KB","Hash"
"ChegaComJhon","EditorQuit.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\AssetModBlock\EditorQuit.cs","0,46","275DB043CD1503FF118D4DF503D38FC0E41E2C40B88EA37741EA5EFCA31DA6F3"
"ChegaComJhon","ParrelSyncAssetModificationProcessor.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\AssetModBlock\ParrelSyncAssetModificationProcessor.cs","1,41","4364EAD75FDF5DE2B3F8603A28CC91309149D718AAA5969C02DA5883429E241B"
"ChegaComJhon","AskFeedbackDialog.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\NonCore\AskFeedbackDialog.cs","3,05","161A7F583474CC2220731EB8815A5694DCCEAFB532FB148A77194A5FD2608F1D"
"ChegaComJhon","OtherMenuItem.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\ParrelSync\Editor\NonCore\OtherMenuItem.cs","0,71","ECA6325FC1E7CA78C33A0E74569D8D49CAEEFB923195366353CF692716129117"
"ChegaComJhon","Player.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Player.cs","7,88","233CC6B3825811E4B31BDA0F0AB0C8EF5F4E2878AEB66E2DE0E2767A038B099D"
"ChegaComJhon","FlutuarSuaveUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Animacoes\FlutuarSuaveUI.cs","1,45","12133F2B5C5A35DEE3B1C76D4E0469CA064FB3F3FC5AEFC0E27A275D8B61BF7A"
"ChegaComJhon","PulsarUI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Animacoes\PulsarUI.cs","1,29","6E85D8D1A51DD03979AD697A4B5471ADADB93B02CF2D89BEF6B396CB3A27F4F5"
"ChegaComJhon","DadosSessaoLocal.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Core\DadosSessaoLocal.cs","0,12","20FE35530961E0D5453646D1F20A68A433D30661BDCBF69883F5A0AFCCA897C9"
"ChegaComJhon","BlocoColisaoMapa.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Gameplay\BlocoColisaoMapa.cs","0,63","4D57F4ECFEE55A93D9BB394D04F698D5C6DAD52DFA1A8BE91693D6A91E716F25"
"ChegaComJhon","Movimentacao.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Gameplay\Movimentacao.cs","30,48","9EFA3D3951BC2655CAF9A430C15A951F340BCA8058B8FA3067A74D85B437DD6C"
"ChegaComJhon","SerberusAI.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\IA´s\IA Do Boss\SerberusAI.cs","16,07","387E1E603389327289FD6ACB1F371C974523C57AF1962ABF47D0AEC9AA6F1A53"
"ChegaComJhon","AnuncianteHostLAN.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\AnuncianteHostLAN.cs","2,5","6E95E834013A83900E891C4C5BCB556AF614417AC02385608C2B89705ACF9F3A"
"ChegaComJhon","Client.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\Client.cs","5,3","8F82FCA174ED68916A9A836DC579D888E7A48D72FA3D5815CD3D748BF7164D22"
"ChegaComJhon","ClientNetworkAnimator.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\ClientNetworkAnimator.cs","0,18","263297A7D680C9792A45BA78F5AAD0BAB764A1667797C36152B2003078C6B724"
"ChegaComJhon","ClientNetworkTransform.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\ClientNetworkTransform.cs","0,2","89C2ACC0C98E9428CA99A6E5B63B6A97142F2E15109C722989872E8C9F494DA8"
"ChegaComJhon","ConexaoPendente.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\ConexaoPendente.cs","0,18","C22DB2E84044E1103713CDEB49D6C3C34F373BF23B2BC7995CFD3D624BBF138C"
"ChegaComJhon","DescobridorHostLAN.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\DescobridorHostLAN.cs","3,35","7CEFB657440B2D83A84DE3589AF426D7396E519BF6044DDFA89DCDFDAB9287AD"
"ChegaComJhon","GerenciadorNomesRede.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\GerenciadorNomesRede.cs","2,63","A670F29F1F39AD3E8018C4887084EA3B70EC77721943F85014CA68A1D7CFE511"
"ChegaComJhon","RedeBootstrap.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\RedeBootstrap.cs","2,89","6D093C932FD78100DC1269D85191BE3EB834068FEF3D796B15677E4F56AE1F6F"
"ChegaComJhon","RedeLanConst.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\RedeLanConst.cs","0,14","4084930146D22AD27992C20A2796634473638B9A4A57B689D75D395F92F62316"
"ChegaComJhon","ServerHubTela.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ChegaComJhon\Scripts\Rede\ServerHubTela.cs","45,76","23597311B7A3852E8BB61EBEEA71B12905A08DA8F6CB433B224A6FB2BBD46FB6"
"ColegaTeste","Movimentacao.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ColegaTeste\ProjetoPlayerJhonas\Scripts\Movimentacao.cs","0,68","61F1019F4E00254BE64EB9244B7D77A25CC794A1727A819F03524E62B4F334F3"
"ColegaTeste","Player.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ColegaTeste\ProjetoPlayerJhonas\Scripts\Player.cs","7,88","70451A6347DC5A8BFC19A90AFE9F28A6DF9BA91F8576323E12A41878D7BAB683"
"ColegaTeste","PlayerMobiment.cs","C:\Users\Marcos\Documents\GitHub\BIGRAT_CENACT\UnificacaoDados\ScriptsSnapshot\ColegaTeste\ProjetoTesteAssets\PlayerMobiment.cs","1,22","4A68F41320D56000F1EF355CDE97990C2DD347A4D6231873B6A2C29B0B91CD33"
