"FullName"
"UnityEngine.Splines.IDataPoint"
"UnityEngine.Splines.IHasEmptyCurves"
"UnityEngine.Splines.IInterpolator`1"
"UnityEngine.Splines.ISplineContainer"
"UnityEngine.Splines.ISplineModificationHandler"
"UnityEngine.Splines.ISplineProvider"
